STNAME,CTYNAME,POPESTIMATE2020,GEOID,MEDIAN_HOUSEHOLD_INCOME,CENTROID
Vermont,Rutland County,60464,50021,61290,POINT (1828492.2430064976 2509092.3588403515)
Vermont,Washington County,59770,50023,77432,POINT (1842720.662115524 2592554.214620143)
Vermont,Windham County,45878,50025,61976,POINT (1869718.6640783723 2451686.2608906785)
Vermont,Windsor County,57736,50027,74244,POINT (1863672.744742586 2518179.6547283754)
Virginia,Accomack County,33397,51001,56357,POINT (1763594.9335045712 1826410.2796160672)
Virginia,Albemarle County,112560,51003,94727,POINT (1508448.0413192892 1803980.5717287431)
Virginia,Alleghany County,15194,51005,52412,POINT (1388940.9997776488 1756069.6632681435)
Virginia,Amelia County,13267,51007,65835,POINT (1571458.8931765838 1738341.5226846572)
Virginia,Amherst County,31313,51009,61271,POINT (1466201.25708354 1748704.0021823056)
Virginia,Appomattox County,16158,51011,62375,POINT (1499372.9999110615 1728805.0298037855)
Virginia,Arlington County,238829,51013,131020,POINT (1613598.489211421 1922071.3777672723)
Virginia,Augusta County,77589,51015,77487,POINT (1456851.6382394726 1810692.9825750992)
Virginia,Bath County,4188,51017,59763,POINT (1406380.565076007 1789995.6964990394)
Virginia,Bedford County,79581,51019,71135,POINT (1438940.621363163 1710280.6096231863)
Virginia,Bland County,6256,51021,55722,POINT (1303498.7286534726 1668013.0701080416)
Virginia,Botetourt County,33641,51023,81122,POINT (1409876.6975597104 1733368.3258162667)
Virginia,Brunswick County,15827,51025,49080,POINT (1594619.6924183613 1676924.1096811446)
Virginia,Buchanan County,20250,51027,39652,POINT (1222120.224703537 1670743.4654287072)
Virginia,Buckingham County,16830,51029,55965,POINT (1520186.8413366366 1755063.38747506)
Virginia,Campbell County,55610,51031,63516,POINT (1478282.1587600862 1705601.3818326872)
Virginia,Caroline County,30929,51033,72210,POINT (1611378.1172340764 1824816.4063437595)
Virginia,Carroll County,29145,51035,51111,POINT (1344858.9518854013 1628827.6625276152)
Virginia,Charles City County,6746,51036,67596,POINT (1651206.073120743 1755500.1303662003)
Virginia,Charlotte County,11539,51037,50151,POINT (1519583.2899674007 1691883.2431767536)
Virginia,Chesterfield County,365350,51041,100149,POINT (1605132.645846786 1748626.107937671)
Virginia,Clarke County,14817,51043,106914,POINT (1533460.3620754578 1933290.818450728)
Virginia,Craig County,4880,51045,62672,POINT (1376662.3620317332 1719320.4898368034)
Virginia,Culpeper County,52766,51047,94287,POINT (1549618.3724871369 1864611.7150205085)
Virginia,Cumberland County,9679,51049,55257,POINT (1545583.7778371423 1753069.0234424071)
Virginia,Dickenson County,14077,51051,43271,POINT (1197138.499128553 1650942.8471112277)
Virginia,Dinwiddie County,27889,51053,72695,POINT (1607428.9956098157 1715016.1310125997)
Virginia,Essex County,10597,51057,58214,POINT (1648071.4410163946 1821201.7253400085)
Virginia,Fairfax County,1148680,51059,144632,POINT (1599801.2611910384 1914724.4153699304)
Virginia,Fauquier County,73010,51061,120301,POINT (1557189.0093752004 1894772.816536772)
Virginia,Floyd County,15473,51063,62561,POINT (1373244.4076544964 1656140.6038968498)
Virginia,Fluvanna County,27294,51065,88162,POINT (1535924.473971494 1788702.102816408)
Virginia,Franklin County,54475,51067,68089,POINT (1414515.3675927287 1670198.247902333)
Virginia,Frederick County,91907,51069,97091,POINT (1509091.2400458094 1938776.8048669617)
Virginia,Giles County,16786,51071,62716,POINT (1336874.5723268471 1693570.276615101)
Virginia,Gloucester County,38724,51073,76960,POINT (1694758.6842400776 1770651.179651269)
Virginia,Goochland County,24873,51075,113617,POINT (1570555.4080590182 1781113.7647151758)
Virginia,Grayson County,15279,51077,45414,POINT (1302655.0541123345 1613735.576212673)
Virginia,Greene County,20608,51079,82772,POINT (1510479.4642615807 1835690.6333457744)
Virginia,Greensville County,11396,51081,47596,POINT (1622129.9290457051 1672611.6442786537)
Virginia,Halifax County,33928,51083,50578,POINT (1501044.2029358929 1659718.1140121226)
